,Players,Name,Team
0,Wizzking,Mohd Zulkarnain Hj Mohd Zulkifli,
1,ATEV,Ly Kimhong,Logic Esports
2,ATM,Kosal Piseth,Burn x Team Flash
3,Arishem,Kunn Chankakada,Burn x Team Flash
4,BOXI,Sok Viera,See You Soon
5,Boom,Ly Kimlong,Impunity KH
6,C Cat,Sok Roth,Burn x Team Flash
7,D7,Ty Oudom,Burn x Team Flash
8,Deja,Houn Chan Vicha,Impunity KH
9,EMBER,Seng Monyoudom,
10,FELIX,Leng Kimhak,See You Soon
11,Fury,Vithou Sovisal,Burn x Team Flash
12,HOUV,Lim Kimhouv,Logic Esports
13,Hakurai,Lim Bunhak,Impunity KH
14,JingKang,You Chansela,Diversity Gaming Quantum
15,Naja,Heang Chheanglong,Diversity Gaming Quantum
16,Oppi,Chhuon Phengkong,Impunity KH
17,PARAGON,Sam Sophanny,See You Soon
18,Panha,Sok Panha,Diversity Gaming Quantum
19,RUNN,Mon Phearun,See You Soon
20,Raa,Sovann Chanmakara,See You Soon
21,SENSEI,Keo Sokkheng,See You Soon
22,Sakura,Say Siyon,
23,Senpai,Chan Soksreng,Impunity KH
24,Seobaby,Phea Sokram,Team Max
25,Tyyy,Tan Yuongty,Impunity KH
26,WATT,Van Sothyvath,
27,Wadu,Vann Dane,CFU Esports
28,WayOfTheShadow,Pich Sopheak,See You Soon
29,AMYY,Fahmi Fadillah,Alter Ego
30,Aether,Jason Keane Zefanya,RRQ Sena
31,Ahmad,Ahmad Abdurrahman,Alter Ego
32,Alberttt,Albert Neilsen Iskandar,RRQ Hoshi
33,Altamiz,Ibnu Shabri Muttaqin,Dewa United Esports
34,Ando,Brandon Lijaya,Geng Kapak
35,Antimage,Maxhill Leonardo,
36,Ash,Delvia Ivana,RRQ Mika
37,AyamJAGO,Try Widyanto Sukardi,
38,AzeR,Reza Kurniawan,
39,B1RUL,Alvi Birrul,
40,Badboy,Felix Davide,
41,Bajan,Raihan Delvino Ardy,EVOS Icon
42,Banana,Andre Raymond Putra,RRQ Hoshi
43,Barbossa,Arya Al Nazhari,Bigetron Beta
44,Bottle,I Gusti Pramana Cipta Dita,Bigetron Alpha
45,Branz,Jabran Bagus Wiloko,EVOS Icon
46,Bravo,Akbar Tubagus Wira Nida,Pabz Esports
47,Butsss,Muhammad Satrya Sanubari,ONIC Esports
48,CW,Calvin Winata,ONIC Esports
49,Caderaa,Mohammad Pambudi,Geek Fam ID
50,Caid,Raihan Said,AURA Fire
51,Caramel,Violetta Aurelia,EVOS Lynx
52,Celiboy,Eldin Rahadian Putra,Alter Ego
53,Chell,Michelle Denise Siswanto,Bigetron Era
54,Chincaaw,Destria Chinca Dewi,GPX Basreng
55,Cinny,Cindy Laurent Siswanto,Bigetron Era
56,Ckim,Miftach Fauzan Hakim,
57,Claw Kun,Adriansyah Baihaqi,EVOS Icon
58,Clayyy,Deden Muhammad Nurhasan,RRQ Hoshi
59,Clover,Hafizhan Hidayatullah,EVOS Legends
60,Cr1te,Muhammad Nur Effandy,EVOS Legends
61,Darkness,Novan Reimond Lumingkewas,
62,DevKoch,Devara Reynanda Putra,Alter Ego
63,Donkey,Yurino Putra Angkawidjaja,
64,Doyok,Tantyo Aditya,
65,DreamS,Rachmad Wahyudi,EVOS Legends
66,Drian,Adriand Larsen Wong,ONIC Esports
67,Druu,Andru Muhammad Ranggadika,AURA Fire
68,Dyrennn,Rendy Syahputra,Rebellion Zion
69,Earl,Winda Lunardi,GPX Basreng
70,Eiduart,Eiduart Tjahyadikarta,
71,Emperor,Jonathan Liandi,
72,Fabiens,Fabiens,
73,Facehugger,Usep Satiawan,AURA Fire
74,Falah,Gilang Dwi Falah,Bigetron Alpha
75,Fearless,Moch Dicky Setiawan,Rebellion Zion
76,Ferxiic,Ferdyansyah Kamaruddin,EVOS Icon
77,Fluffy,Regi Marviola,AURA Fire
78,Fredoqt,Noval Ananda,Geng Kapak
79,Fumi,Venny Lim,Bigetron Era
80,Funi,Fanny Cynthia Dewi,GPX Basreng
81,Gamora,Muhammad Daffa,Bigetron Beta
82,Gear,Tristan Christopher Nathanael,Slate Esports
83,Giogoi,Giovani Ngatiman,RRQ Mika
84,H i g h,Jehuda Jordan Sumual,AURA Fire
85,Haiz,Dhannya Posa Hoputra,Rebellion Zion
86,Hanz,Muhammad Raihan Alim,Geek Fam ID Jr
87,Hijumee,Dalvin Ramadhan,EVOS Icon
88,IOS,Sebastianus Klemens Kusuma,
89,Icel,Marcelyn Deaprillia,RRQ Mika
90,Ichsan,Muhammad Ichsan,
91,InstincT,Calvien,
92,Jamet,Ragil Lintang Analief Syafieq,Aura Blaze
93,JeeL,Gerald Belarmino,
94,JessNoLimit,Tobias Justin,
95,JiiSaa,Mohammad Jihadi Fathan,Rebellion Sinai
96,Joker,David Ginola,
97,Justinnn,Edi Susanto,RRQ Sena
98,Kabuki,Leonardo Prasetyo Agung,AURA Fire
99,Kiboy,Nicky Fernando,ONIC Esports
100,Kido,Yosua Priatama,Geng Kapak
101,KidsZ,Rizal,Alter Ego
102,Kyy,Hengky Kurniawan,Bigetron Alpha
